timestamp,motion,sound
1583407571,1,614
1583407571,1,116
1583407571,1,472
1583407572,1,114
1583407572,1,113
1583407572,1,209
1583407572,1,115
1583407572,1,162
1583407572,1,113
1583407572,1,113
1583407572,1,114
1583407572,1,114
1583407573,1,180
1583407573,1,115
1583407573,1,170
1583407573,1,113
1583407573,1,182
1583407573,1,113
1583407573,1,113
1583407573,1,114
1583407573,0,113
1583407573,0,157
1583407574,0,115
1583407574,0,156
1583407574,0,114
1583407574,0,114
1583407574,0,117
1583407574,0,115
1583407574,0,199
1583407574,0,113
1583407574,0,113
1583407574,0,116
1583407575,0,114
1583407575,0,192
1583407575,1,113
1583407575,1,113
1583407575,1,184
1583407575,1,115
1583407575,1,151
1583407575,1,114
1583407575,1,113
1583407576,1,114
1583407576,1,114
1583407576,1,199
1583407576,1,113
1583407576,1,116
1583407576,1,113
1583407576,1,152
1583407576,1,115
1583407576,1,236
1583407576,1,114
1583407577,1,113
1583407577,1,114
1583407577,1,113
1583407577,1,184
1583407577,1,113
1583407577,0,113
1583407577,0,115
1583407577,0,113
1583407577,0,186
1583407577,0,115
1583407578,0,173
1583407578,0,113
1583407578,0,113
1583407578,0,117
1583407578,0,114
1583407578,0,187
1583407578,0,115
1583407578,0,176
1583407578,1,115
1583407579,1,198
1583407579,1,113
1583407579,1,291
1583407579,1,113
1583407579,1,113
1583407579,1,113
1583407579,1,113
1583407579,1,849
1583407579,1,113
1583407579,1,115
1583407580,1,849
1583407580,1,199
1583407580,1,113
1583407580,1,437
1583407580,1,113
1583407580,1,113
1583407580,1,114
1583407580,1,115
1583407580,1,112
1583407580,1,113
1583407581,0,250
1583407581,0,698
1583407581,0,113
1583407581,0,113
1583407581,0,113
1583407581,0,115
1583407581,0,113
1583407581,0,114
1583407581,0,113
1583407582,0,114
1583407582,0,114
1583407582,0,178
1583407582,0,187
1583407582,0,113
1583407582,0,114
1583407582,0,113
1583407582,0,114
1583407582,0,114
1583407582,0,115
1583407583,0,115
1583407583,0,175
1583407583,0,177
1583407583,0,179
1583407583,1,113
