timestamp,motion,sound
1583406844.161477,0,98
1583406844.264834,1,99
1583406844.368176,1,99
1583406844.471541,1,99
1583406844.574910,1,103
1583406844.678400,1,100
1583406844.781793,1,101
1583406844.885166,1,116
1583406844.988531,1,155
1583406845.091896,1,170
1583406845.195348,1,149
1583406845.298704,1,318
1583406845.402065,1,100
1583406845.505427,1,99
1583406845.608740,1,141
1583406845.712091,1,187
1583406845.815429,1,99
1583406845.918746,1,99
1583406846.022101,1,103
1583406846.125465,1,185
1583406846.228819,1,98
1583406846.332165,1,100
1583406846.435545,0,99
1583406846.538909,0,99
1583406846.642262,0,104
1583406846.745701,0,167
1583406846.849040,0,173
1583406846.952394,0,99
1583406847.055796,0,99
1583406847.159153,0,99
1583406847.262530,0,99
1583406847.365877,0,104
1583406847.469219,0,170
1583406847.572577,0,97
1583406847.675936,0,99
1583406847.779279,0,99
1583406847.882635,0,99
1583406847.986011,0,102
1583406848.089370,0,159
1583406848.192728,0,135
1583406848.296079,1,99
1583406848.399425,1,99
1583406848.502751,1,101
1583406848.606046,1,168
1583406848.709330,1,99
1583406848.812618,1,99
1583406848.915847,1,188
1583406849.019107,1,99
1583406849.122348,1,100
1583406849.225744,1,103
1583406849.329094,1,153
1583406849.432452,1,123
1583406849.535861,1,141
1583406849.639206,1,115
1583406849.742640,1,99
1583406849.846022,1,99
1583406849.949391,1,99
1583406850.052738,1,99
1583406850.156083,1,147
1583406850.259443,1,190
1583406850.362795,1,99
1583406850.466147,0,100
1583406850.569485,0,99
1583406850.672830,0,101
1583406850.776198,0,176
1583406850.879560,0,97
1583406850.982915,0,99
1583406851.086271,0,101
