excel date,timestamp,sound,light,button,button_timesince,temperature,motion,touch,touch_timesince,ultrasonic
30/09/2015 23:00,1443654001,109,0,0,32767,490,0,0,32767,1071
30/09/2015 23:00,1443654002,87,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654003,98,0,0,32767,490,0,0,32767,1070
30/09/2015 23:00,1443654004,94,0,0,32767,490,0,0,32767,367
30/09/2015 23:00,1443654005,56,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654006,111,0,0,32767,490,0,0,32767,368
30/09/2015 23:00,1443654007,51,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654008,118,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654009,222,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654010,107,0,0,32767,490,0,0,32767,1070
30/09/2015 23:00,1443654011,107,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654012,98,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654013,58,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654014,75,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654015,85,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654016,85,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654017,80,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654018,94,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654019,68,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654020,85,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654021,77,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654022,89,0,0,32767,490,0,0,32767,369
30/09/2015 23:00,1443654023,79,0,0,32767,490,0,0,32767,369
30/09/2015 23:00,1443654024,93,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654025,89,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654026,91,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654027,97,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654028,57,0,0,32767,489,0,0,32767,1068
30/09/2015 23:00,1443654029,62,0,0,32767,490,0,0,32767,369
30/09/2015 23:00,1443654030,73,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654031,99,0,0,32767,490,0,0,32767,366
30/09/2015 23:00,1443654032,110,0,0,32767,490,0,0,32767,1071
30/09/2015 23:00,1443654033,26,0,0,32767,488,0,0,32767,1068
30/09/2015 23:00,1443654034,74,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654035,107,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654036,102,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654037,106,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654038,67,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654039,75,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654040,86,0,0,32767,490,0,0,32767,1067
30/09/2015 23:00,1443654041,64,0,0,32767,490,0,0,32767,367
30/09/2015 23:00,1443654042,116,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654043,91,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654044,77,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654045,70,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654046,95,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654047,81,0,0,32767,490,0,0,32767,367
30/09/2015 23:00,1443654048,103,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654049,71,0,0,32767,490,0,0,32767,369
30/09/2015 23:00,1443654050,98,0,0,32767,490,0,0,32767,368
30/09/2015 23:00,1443654051,97,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654052,102,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654053,69,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654054,75,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654055,79,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654056,113,0,0,32767,490,0,0,32767,1068
30/09/2015 23:00,1443654057,89,0,0,32767,490,0,0,32767,366
30/09/2015 23:00,1443654058,87,0,0,32767,490,0,0,32767,1069
30/09/2015 23:00,1443654059,88,0,0,32767,488,0,0,32767,1069
30/09/2015 23:01,1443654060,95,0,0,32767,490,0,0,32767,1068
30/09/2015 23:01,1443654061,84,0,0,32767,490,0,0,32767,1068
30/09/2015 23:01,1443654062,105,0,0,32767,490,0,0,32767,1068
30/09/2015 23:01,1443654063,87,0,0,32767,490,0,0,32767,1068
30/09/2015 23:01,1443654064,99,0,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654065,71,0,0,32767,489,0,0,32767,1068
30/09/2015 23:01,1443654066,97,0,0,32767,489,0,0,32767,1068
30/09/2015 23:01,1443654067,79,0,0,32767,489,0,0,32767,1068
30/09/2015 23:01,1443654068,109,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654069,101,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654070,71,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654071,90,0,0,32767,490,0,0,32767,1068
30/09/2015 23:01,1443654072,96,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654073,100,0,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654074,80,0,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654075,105,0,0,32767,489,0,0,32767,1068
30/09/2015 23:01,1443654076,94,0,0,32767,490,0,0,32767,366
30/09/2015 23:01,1443654077,92,3,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654078,92,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654079,80,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654080,92,0,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654081,70,0,0,32767,489,0,0,32767,1068
30/09/2015 23:01,1443654082,106,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654083,119,0,0,32767,490,0,0,32767,367
30/09/2015 23:01,1443654084,92,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654085,74,0,0,32767,489,0,0,32767,368
30/09/2015 23:01,1443654086,119,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654087,113,0,0,32767,490,0,0,32767,367
30/09/2015 23:01,1443654088,92,0,0,32767,490,0,0,32767,366
30/09/2015 23:01,1443654089,80,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654090,95,0,0,32767,490,0,0,32767,369
30/09/2015 23:01,1443654091,93,0,0,32767,490,0,0,32767,367
30/09/2015 23:01,1443654092,104,0,0,32767,490,0,0,32767,368
30/09/2015 23:01,1443654093,99,0,0,32767,489,0,0,32767,367
30/09/2015 23:01,1443654094,103,0,0,32767,489,0,0,32767,1067
30/09/2015 23:01,1443654095,78,0,0,32767,490,0,0,32767,1067
30/09/2015 23:01,1443654096,85,0,0,32767,490,0,0,32767,1069
30/09/2015 23:01,1443654097,82,0,0,32767,490,0,0,32767,366
30/09/2015 23:01,1443654098,91,0,0,32767,490,0,0,32767,369
