time,ultrasonic,sheepCount
1585150533.592199,148,1
1585150533.654613,148,1
1585150533.717062,148,1
1585150533.779518,148,1
1585150533.841937,148,1
1585150533.904335,148,1
1585150533.966801,148,1
1585150534.029228,148,1
1585150534.091694,148,1
1585150534.154097,148,1
1585150534.216529,148,1
1585150534.278954,148,1
1585150534.341358,148,1
1585150534.403804,148,1
1585150534.466200,148,1
1585150534.528633,161,1
1585150534.591063,16,1
1585150534.653471,161,1
1585150534.715890,14,1
1585150534.778337,14,1
1585150534.840734,161,1
1585150534.903137,13,1
1585150534.965542,14,1
1585150535.028008,14,1
1585150535.090440,13,2
1585150535.152920,11,2
1585150535.215423,12,2
1585150535.277882,14,2
1585150535.340328,13,2
1585150535.402780,12,2
1585150535.465199,11,2
1585150535.527616,13,2
1585150535.590096,12,2
1585150535.652566,13,2
1585150535.714972,16,2
1585150535.777403,16,2
1585150535.839787,16,2
1585150535.902194,22,2
1585150535.964601,17,2
1585150536.027017,20,2
1585150536.089430,21,2
1585150536.151840,148,2
1585150536.214263,148,2
1585150536.276672,148,2
1585150536.339087,148,2
1585150536.401499,148,2
1585150536.463925,148,2
1585150536.526349,148,2
1585150536.588768,148,2
1585150536.651209,148,2
1585150536.713652,148,2
1585150536.776073,148,2
1585150536.838504,148,2
1585150536.900907,148,2
1585150536.963320,148,2
1585150537.025733,148,2
1585150537.088224,148,2
1585150537.150682,148,2
1585150537.213110,148,2
1585150537.275553,148,2
1585150537.338061,148,2
1585150537.400482,148,2
1585150537.462893,148,2
1585150537.525310,148,2
1585150537.587725,148,2
1585150537.650124,148,2
1585150537.712530,148,2
1585150537.774942,148,2
1585150537.837357,148,2
1585150537.899772,148,2
1585150537.962229,148,2
1585150538.024644,148,2
1585150538.087052,148,2
1585150538.149453,148,2
1585150538.211860,148,2
1585150538.274281,148,2
1585150538.336802,148,2
1585150538.399222,148,2
1585150538.461637,148,2
1585150538.524038,148,2
1585150538.586446,148,2
1585150538.648886,148,2
1585150538.711324,148,2
1585150538.773764,148,2
1585150538.836188,148,2
1585150538.898626,148,2
1585150538.961046,148,2
1585150539.023450,148,2
1585150539.085874,148,2
1585150539.148344,148,2
1585150539.210751,148,2
1585150539.273169,148,2
1585150539.335604,148,2
1585150539.398159,148,2
1585150539.460584,148,2
1585150539.523007,148,2
1585150539.585427,148,2
1585150539.647847,148,2
1585150539.710392,148,2
1585150539.772812,148,2
1585150539.835210,148,2
1585150539.897615,148,2
1585150539.960055,148,2
1585150540.022502,148,2
1585150540.084960,148,2
1585150540.147427,148,2
1585150540.209916,148,2
1585150540.272410,148,2
1585150540.334932,148,2
1585150540.397470,148,2
1585150540.459918,148,2
1585150540.522330,148,2
1585150540.584813,148,2
1585150540.647310,148,2
1585150540.709701,148,2
1585150540.772127,148,2
1585150540.834565,148,2
1585150540.897069,148,2
1585150540.959532,148,2
1585150541.021928,148,2
1585150541.084362,148,2
1585150541.146844,148,2
1585150541.209257,148,2
1585150541.271673,148,2
1585150541.334087,148,2
1585150541.396543,148,2
1585150541.458976,148,2
1585150541.521393,148,2
1585150541.583805,148,2
1585150541.646218,148,2
1585150541.708625,148,2
1585150541.771023,148,2
1585150541.833425,148,2
1585150541.895838,148,2
1585150541.958311,148,2
1585150542.020724,148,2
1585150542.083144,148,2
1585150542.145557,148,2
1585150542.208106,148,2
1585150542.270530,148,2
1585150542.332930,148,2
1585150542.395336,148,2
1585150542.457751,148,2
1585150542.520222,148,2
1585150542.582636,148,2
1585150542.645052,148,2
1585150542.707495,148,2
1585150542.769902,148,2
1585150542.832376,148,2
1585150542.894859,148,2
1585150542.957331,148,2
1585150543.019760,148,2
1585150543.082243,148,2
1585150543.144688,148,2
1585150543.207199,148,2
1585150543.269669,148,2
1585150543.332174,13,2
1585150543.394843,164,2
1585150543.457342,16,2
1585150543.519774,11,2
1585150543.582227,163,2
1585150543.644647,18,2
1585150543.707125,161,2
1585150543.769584,18,2
1585150543.831999,16,2
1585150543.894441,148,2
1585150543.956912,148,2
1585150544.019334,148,2
1585150544.081739,148,2
1585150544.144157,148,2
1585150544.206614,148,2
1585150544.269041,148,2
1585150544.331449,148,2
1585150544.393855,148,2
1585150544.456258,148,2
1585150544.518720,148,2
1585150544.581147,148,2
1585150544.643556,148,2
1585150544.706010,148,2
1585150544.768418,148,2
1585150544.830816,148,2
1585150544.893216,148,2
1585150544.955682,148,2
1585150545.018200,148,2
1585150545.080615,148,2
1585150545.143013,148,2
1585150545.205424,148,2
1585150545.267920,148,2
1585150545.330371,148,2
1585150545.392835,148,2
1585150545.455262,148,2
1585150545.517701,148,2
1585150545.580119,148,2
1585150545.642558,148,2
1585150545.704984,148,2
1585150545.767440,148,2
1585150545.829852,148,2
1585150545.892250,148,2
1585150545.954650,148,2
1585150546.017098,148,2
1585150546.079518,148,2
1585150546.141914,148,2
1585150546.204329,148,2
1585150546.266799,148,2
1585150546.329259,148,2
1585150546.391673,148,2
1585150546.454083,148,2
1585150546.516485,148,2
1585150546.578901,148,2
1585150546.641313,148,2
1585150546.703738,148,2
1585150546.766182,148,2
1585150546.828592,148,2
1585150546.890994,148,2
1585150546.953403,148,2
1585150547.015811,148,2
1585150547.078307,148,2
1585150547.140730,148,2
1585150547.203133,148,2
1585150547.265537,148,2
1585150547.328016,148,2
1585150547.390476,148,2
1585150547.452887,148,2
1585150547.515320,148,2
1585150547.577761,148,2
1585150547.640275,148,2
1585150547.702724,148,2
1585150547.765145,148,2
1585150547.827552,148,2
1585150547.889968,148,2
1585150547.952380,148,2
1585150548.014776,148,2
1585150548.077189,148,2
1585150548.139610,148,2
1585150548.202026,148,2
1585150548.264419,148,2
1585150548.326895,148,2
1585150548.389300,148,2
1585150548.451705,148,2
1585150548.514110,148,2
1585150548.576564,148,2
1585150548.638968,148,2
1585150548.701381,148,2
1585150548.763797,148,2
1585150548.826216,148,2
1585150548.888698,148,2
1585150548.951095,148,2
1585150549.013503,148,2
1585150549.075924,148,2
1585150549.138420,148,2
1585150549.200868,148,2
1585150549.263262,148,2
1585150549.325674,148,2
1585150549.388150,148,2
1585150549.450550,148,2
1585150549.512956,148,2
1585150549.575367,148,2
1585150549.637801,148,2
1585150549.700240,148,2
1585150549.762641,148,2
1585150549.825077,148,2
1585150549.887481,148,2
1585150549.949922,148,2
1585150550.012324,148,2
1585150550.074740,148,2
1585150550.137149,148,2
1585150550.199569,148,2
1585150550.262063,148,2
1585150550.324522,148,2
1585150550.387059,148,2
1585150550.449476,148,2
1585150550.511886,148,2
1585150550.574295,148,2
1585150550.636768,148,2
1585150550.699216,148,2
1585150550.761687,148,2
1585150550.824124,148,2
1585150550.886582,148,2
1585150550.948987,148,2
1585150551.011401,148,2
1585150551.073807,148,2
1585150551.136205,148,2
1585150551.198638,148,2
